src_ip,src_mac,dst_mac,status,timestamp
248.163.192.168,c0:25:2f:b7:f8:a3,ac:22:0b:2d:22:a4,OK,2023-07-18 13:33:35
40.71.11.167,c0:25:2f:b7:f8:a3,ac:22:0b:2d:22:a4,OK,2023-07-18 13:33:35
192.168.1.113,ac:22:0b:2d:22:a4,c0:25:2f:b7:f8:a3,OK,2023-07-18 13:33:35
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:35
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:35
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:35
192.168.1.108,62:c7:31:d3:af:bf,01:00:5e:00:00:fb,OK,2023-07-18 13:33:36
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:36
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:37
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:37
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:38
192.168.1.105,76:f5:f4:1a:6d:33,01:00:5e:00:00:fb,OK,2023-07-18 13:33:38
192.168.1.100,b0:6e:bf:73:11:82,01:00:5e:00:00:fb,OK,2023-07-18 13:33:39
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:39
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:39
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:40
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:41
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:41
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:42
0.0.0.0,00:14:c2:54:03:3f,33:33:00:01:00:03,OK,2023-07-18 13:33:42
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fc,OK,2023-07-18 13:33:42
0.0.0.0,00:14:c2:54:03:3f,33:33:00:01:00:03,OK,2023-07-18 13:33:43
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fc,OK,2023-07-18 13:33:43
